username,tweetcreatedts,text,cleansing,case folding,normalisasi,tokenizing,filtering,stemming,tweet_english,Score,label_class
bebek_NKRI,2023-01-24 09:52:47+00:00,"Komisi II DPR: Masa Jabatan Kepala Desa 6 Tahun Sudah Pas
 
https://t.co/WZ2VgUS82s lewat @tribunnews",Komisi II DPR Masa Jabatan Kepala Desa Tahun Sudah Pas lewat,komisi ii dpr masa jabatan kepala desa tahun sudah pas lewat,komisi ii dpr masa jabatan kepala desa tahun sudah pas lewat,"['komisi', 'ii', 'dpr', 'masa', 'jabatan', 'kepala', 'desa', 'tahun', 'sudah', 'pas', 'lewat']","['komisi', 'ii', 'dpr', 'jabatan', 'kepala', 'desa', 'pas']","['komisi', 'ii', 'dpr', 'jabat', 'kepala', 'desa', 'pas']","['commission', 'ii', 'dpr', 'position', 'head', 'village', 'pas']",0.0,Netral
yudiyudot99,2023-01-24 09:51:29+00:00,"Mudah ditebak gaes 🤩💥

Kritik Masa Jabatan Kepala Desa 9 Tahun, Pakar: Jangan-jangan Proyek Sponsor?!

https://t.co/fqLjjKDNwU",Mudah ditebak gaes Kritik Masa Jabatan Kepala Desa Tahun Pakar Jangan jangan Proyek Sponsor,mudah ditebak gaes kritik masa jabatan kepala desa tahun pakar jangan jangan proyek sponsor,mudah ditebak gaes kritik masa jabatan kepala desa tahun pakar jangan jangan proyek sponsor,"['mudah', 'ditebak', 'gaes', 'kritik', 'masa', 'jabatan', 'kepala', 'desa', 'tahun', 'pakar', 'jangan', 'jangan', 'proyek', 'sponsor']","['mudah', 'ditebak', 'gaes', 'kritik', 'jabatan', 'kepala', 'desa', 'pakar', 'proyek', 'sponsor']","['mudah', 'tebak', 'gaes', 'kritik', 'jabat', 'kepala', 'desa', 'pakar', 'proyek', 'sponsor']","['easy', 'guess', 'gaes', 'criticism', 'shake', 'head', 'village', 'expert', 'project', 'sponsor']",-0.1779,Negative
RidhaBinAnwar,2023-01-24 09:44:33+00:00,"Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi (Mendes PDTT) Abdul Halim Iskandar mengatakan, masa jabatan kepala desa (kades) yang diusulkan selama sembilan tahun akan memberikan banyak manfaat bagi masyarakat desa. 
#Kades 9 Tahun
 https://t.co/priW2RStKm.",Menteri Desa Pembangunan Daerah Tertinggal dan Transmigrasi Mendes PDTT Abdul Halim Iskandar mengatakan masa jabatan kepala desa kades yang diusulkan selama sembilan tahun akan memberikan banyak manfaat bagi masyarakat desa Tahun,menteri desa pembangunan daerah tertinggal dan transmigrasi mendes pdtt abdul halim iskandar mengatakan masa jabatan kepala desa kades yang diusulkan selama sembilan tahun akan memberikan banyak manfaat bagi masyarakat desa tahun,menteri desa pembangunan daerah tertinggal dan transmigrasi mendes pdtt abdul halim iskandar mengatakan masa jabatan kepala desa kades yang diusulkan selama sembilan tahun akan memberikan banyak manfaat bagi masyarakat desa tahun,"['menteri', 'desa', 'pembangunan', 'daerah', 'tertinggal', 'dan', 'transmigrasi', 'mendes', 'pdtt', 'abdul', 'halim', 'iskandar', 'mengatakan', 'masa', 'jabatan', 'kepala', 'desa', 'kades', 'yang', 'diusulkan', 'selama', 'sembilan', 'tahun', 'akan', 'memberikan', 'banyak', 'manfaat', 'bagi', 'masyarakat', 'desa', 'tahun']","['menteri', 'desa', 'pembangunan', 'daerah', 'tertinggal', 'transmigrasi', 'mendes', 'pdtt', 'abdul', 'halim', 'iskandar', 'jabatan', 'kepala', 'desa', 'kades', 'diusulkan', 'sembilan', 'manfaat', 'masyarakat', 'desa']","['menteri', 'desa', 'bangun', 'daerah', 'tinggal', 'transmigrasi', 'mendes', 'pdtt', 'abdul', 'halim', 'iskandar', 'jabat', 'kepala', 'desa', 'kades', 'usul', 'sembilan', 'manfaat', 'masyarakat', 'desa']","['minister', 'village', 'build', 'region', 'live', 'transmigration', 'mendes', 'pdtt', 'abdul', 'halim', 'iskandar', 'juang', ' head', 'village', 'head of village', 'proposal', 'nine', 'benefits', 'community', 'village']",0.3818,Positif
Beritabaruco,2023-01-24 09:43:35+00:00,Perpanjangan Masa Jabatan Kepala Desa Bentuk Kemunduran Demokrasi https://t.co/ORb0TobX8k #Nasional #BeritaBaru #BeritaBaruJatim #BeritaJatim #Beritabaruco https://t.co/ulGj9ChM9F,Perpanjangan Masa Jabatan Kepala Desa Bentuk Kemunduran Demokrasi,perpanjangan masa jabatan kepala desa bentuk kemunduran demokrasi,perpanjangan masa jabatan kepala desa bentuk kemunduran demokrasi,"['perpanjangan', 'masa', 'jabatan', 'kepala', 'desa', 'bentuk', 'kemunduran', 'demokrasi']","['perpanjangan', 'jabatan', 'kepala', 'desa', 'bentuk', 'kemunduran', 'demokrasi']","['panjang', 'jabat', 'kepala', 'desa', 'bentuk', 'mundur', 'demokrasi']","['long', 'position', 'head', 'village', 'form', 'retreat', 'democracy']",0.2023,Positif
KLIIKBAIIT,2023-01-24 09:42:38+00:00,Ketua Komisi II DPR RI Ahmad Doli Kurnia meminta publik untuk tidak mengaitkan wacana perpanjangan masa jabatan Kepala Desa (Kades) dengan kepentingan politik menjelang Pemilu 2024. https://t.co/SLV4Of50IN,Ketua Komisi II DPR RI Ahmad Doli Kurnia meminta publik untuk tidak mengaitkan wacana perpanjangan masa jabatan Kepala Desa Kades dengan kepentingan politik menjelang Pemilu,ketua komisi ii dpr ri ahmad doli kurnia meminta publik untuk tidak mengaitkan wacana perpanjangan masa jabatan kepala desa kades dengan kepentingan politik menjelang pemilu,ketua komisi ii dpr ri ahmad doli kurnia meminta publik untuk tidak mengaitkan wacana perpanjangan masa jabatan kepala desa kades dengan kepentingan politik menjelang pemilu,"['ketua', 'komisi', 'ii', 'dpr', 'ri', 'ahmad', 'doli', 'kurnia', 'meminta', 'publik', 'untuk', 'tidak', 'mengaitkan', 'wacana', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa', 'kades', 'dengan', 'kepentingan', 'politik', 'menjelang', 'pemilu']","['ketua', 'komisi', 'ii', 'dpr', 'ri', 'ahmad', 'doli', 'kurnia', 'publik', 'mengaitkan', 'wacana', 'perpanjangan', 'jabatan', 'kepala', 'desa', 'kades', 'kepentingan', 'politik', 'menjelang', 'pemilu']","['ketua', 'komisi', 'ii', 'dpr', 'ri', 'ahmad', 'dol', 'kurnia', 'publik', 'kait', 'wacana', 'panjang', 'jabat', 'kepala', 'desa', 'kades', 'penting', 'politik', 'jelang', 'milu']","['chairman', 'commission', 'ii', 'dpr', 'ri', 'ahmad', 'dol', 'kurnia', 'public', 'kait', 'discourse', 'long', ' position', 'head', 'village', 'head of village', 'important', 'politics', 'come ahead', 'milu']",0.2023,Positif
mediaindonesia,2023-01-24 09:15:03+00:00,"Kepala Desa Mau Masa Jabatan 9 Tahun, Presiden: Silakan ke DPR. Joko Widodo menegaskan bahwa Undang-Undang Nomor 6 Tahun 2014 tentang Desa telah mengatur masa jabatan kepala desa selama enam tahun dan tiga periode.  https://t.co/zL3WpNxrX5",Kepala Desa Mau Masa Jabatan Tahun Presiden Silakan ke DPR Joko Widodo menegaskan bahwa Undang Undang Nomor Tahun tentang Desa telah mengatur masa jabatan kepala desa selama enam tahun dan tiga periode,kepala desa mau masa jabatan tahun presiden silakan ke dpr joko widodo menegaskan bahwa undang undang nomor tahun tentang desa telah mengatur masa jabatan kepala desa selama enam tahun dan tiga periode,kepala desa mau masa jabatan tahun presiden silakan ke dpr joko widodo menegaskan bahwa undang undang nomor tahun tentang desa telah mengatur masa jabatan kepala desa selama enam tahun dan tiga periode,"['kepala', 'desa', 'mau', 'masa', 'jabatan', 'tahun', 'presiden', 'silakan', 'ke', 'dpr', 'joko', 'widodo', 'menegaskan', 'bahwa', 'undang', 'undang', 'nomor', 'tahun', 'tentang', 'desa', 'telah', 'mengatur', 'masa', 'jabatan', 'kepala', 'desa', 'selama', 'enam', 'tahun', 'dan', 'tiga', 'periode']","['kepala', 'desa', 'jabatan', 'presiden', 'silakan', 'dpr', 'joko', 'widodo', 'undang', 'undang', 'nomor', 'desa', 'mengatur', 'jabatan', 'kepala', 'desa', 'enam', 'periode']","['kepala', 'desa', 'jabat', 'presiden', 'sila', 'dpr', 'joko', 'widodo', 'undang', 'undang', 'nomor', 'desa', 'atur', 'jabat', 'kepala', 'desa', 'enam', 'periode']","['head', 'village', ' shook', 'president', 'sila', 'dpr', 'joko', 'widodo', 'undang', 'undang', 'number', 'village', ' set', 'position', 'chief', 'village', 'six', 'period']",-0.0258,Netral
GarethBJ4w4,2023-01-24 09:14:53+00:00,"kemarin kepala desa kumpul minta 9th masa jabatan, kurang mendapatkan cuan kali ya.. 
cc. @kemendespdtt @bpsdmkemendesa @Itjen_Kemendes",kemarin kepala desa kumpul minta th masa jabatan kurang mendapatkan cuan kali ya cc,kemarin kepala desa kumpul minta th masa jabatan kurang mendapatkan cuan kali ya cc,kemarin kepala desa kumpul meminta tahun masa jabatan kurang mendapatkan cuan kali ya cc,"['kemarin', 'kepala', 'desa', 'kumpul', 'meminta', 'tahun', 'masa', 'jabatan', 'kurang', 'mendapatkan', 'cuan', 'kali', 'ya', 'cc']","['kemarin', 'kepala', 'desa', 'kumpul', 'jabatan', 'cuan', 'kali', 'ya', 'cc']","['kemarin', 'kepala', 'desa', 'kumpul', 'jabat', 'cuan', 'kali', 'ya', 'cc']","['yesterday', 'head', 'village', 'gathered', 'shake', 'cuan', 'time', 'yes', 'cc']",0.25,Positif
tribunjogja,2023-01-24 09:02:32+00:00,Jawaban Presiden Jokowi Terkait Usulan Perpanjangan Masa Jabatan Kepala Desa https://t.co/uUUUHczAMr,Jawaban Presiden Jokowi Terkait Usulan Perpanjangan Masa Jabatan Kepala Desa,jawaban presiden jokowi terkait usulan perpanjangan masa jabatan kepala desa,jawaban presiden jokowi terkait usulan perpanjangan masa jabatan kepala desa,"['jawaban', 'presiden', 'jokowi', 'terkait', 'usulan', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa']","['presiden', 'jokowi', 'terkait', 'usulan', 'perpanjangan', 'jabatan', 'kepala', 'desa']","['presiden', 'jokowi', 'kait', 'usul', 'panjang', 'jabat', 'kepala', 'desa']","['president', 'jokowi', 'hook', 'proposal', 'long', 'position', 'head', 'village']",0.0,Netral
yusufabualif,2023-01-24 08:55:56+00:00,"Serahkan Urusan Masa Jabatan Kepala Desa ke DPR, Jokowi: UU Batasi 6 Tahun https://t.co/S7aHqTf2ul",Serahkan Urusan Masa Jabatan Kepala Desa ke DPR Jokowi UU Batasi Tahun,serahkan urusan masa jabatan kepala desa ke dpr jokowi uu batasi tahun,serahkan urusan masa jabatan kepala desa ke dpr jokowi uu batasi tahun,"['serahkan', 'urusan', 'masa', 'jabatan', 'kepala', 'desa', 'ke', 'dpr', 'jokowi', 'uu', 'batasi', 'tahun']","['serahkan', 'urusan', 'jabatan', 'kepala', 'desa', 'dpr', 'jokowi', 'uu', 'batasi']","['serah', 'urus', 'jabat', 'kepala', 'desa', 'dpr', 'jokowi', 'uu', 'batas']","['hand over', 'manage', 'position', 'head', 'village', 'dpr', 'jokowi', 'uu', 'limit']",0.4939,Positif
Roni03055665,2023-01-24 08:44:45+00:00,"Ratusan kepala desa demo di DPR  menuntut perpanjang masa jabatan 9 thn, ..digoda oleh PDIP dan PKB.. mksdnya gmn..? https://t.co/IDo8FeQCDk",Ratusan kepala desa demo di DPR menuntut perpanjang masa jabatan thn digoda oleh PDIP dan PKB mksdnya gmn,ratusan kepala desa demo di dpr menuntut perpanjang masa jabatan thn digoda oleh pdip dan pkb mksdnya gmn,ratusan kepala desa demo di dpr menuntut perpanjang masa jabatan tahun digoda oleh pdip dan pkb maksudnya bagaimana,"['ratusan', 'kepala', 'desa', 'demo', 'di', 'dpr', 'menuntut', 'perpanjang', 'masa', 'jabatan', 'tahun', 'digoda', 'oleh', 'pdip', 'dan', 'pkb', 'maksudnya', 'bagaimana']","['ratusan', 'kepala', 'desa', 'demo', 'dpr', 'menuntut', 'perpanjang', 'jabatan', 'digoda', 'pdip', 'pkb', 'maksudnya']","['ratus', 'kepala', 'desa', 'demo', 'dpr', 'tuntut', 'panjang', 'jabat', 'goda', 'pdip', 'pkb', 'maksud']","['hundred', 'head', 'village', 'demonstration', 'dpr', 'demand', 'long', 'position', 'tempt', 'pdip', 'pkb', 'mean']",-0.0258,Netral
iina_surbakti,2023-01-24 08:25:06+00:00,"Presiden menyebut perpanjangan masa jabatan tersebut merupakan aspirasi para kepala desa. Ia pun mempersilakan para kepala desa untuk menyampaikan aspirasi tersebut kpd DPR.

""Iya yang namanya keinginan, yang namanya aspirasi itu silakan disampaikan kepada DPR,"" ungkap Presiden. https://t.co/erAloxG4zB",Presiden menyebut perpanjangan masa jabatan tersebut merupakan aspirasi para kepala desa Ia pun mempersilakan para kepala desa untuk menyampaikan aspirasi tersebut kpd DPR Iya yang namanya keinginan yang namanya aspirasi itu silakan disampaikan kepada DPR ungkap Presiden,presiden menyebut perpanjangan masa jabatan tersebut merupakan aspirasi para kepala desa ia pun mempersilakan para kepala desa untuk menyampaikan aspirasi tersebut kpd dpr iya yang namanya keinginan yang namanya aspirasi itu silakan disampaikan kepada dpr ungkap presiden,presiden menyebut perpanjangan masa jabatan tersebut merupakan aspirasi para kepala desa ia pun mempersilakan para kepala desa untuk menyampaikan aspirasi tersebut kepada dpr iya yang namanya keinginan yang namanya aspirasi itu silakan disampaikan kepada dpr ungkap presiden,"['presiden', 'menyebut', 'perpanjangan', 'masa', 'jabatan', 'tersebut', 'merupakan', 'aspirasi', 'para', 'kepala', 'desa', 'ia', 'pun', 'mempersilakan', 'para', 'kepala', 'desa', 'untuk', 'menyampaikan', 'aspirasi', 'tersebut', 'kepada', 'dpr', 'iya', 'yang', 'namanya', 'keinginan', 'yang', 'namanya', 'aspirasi', 'itu', 'silakan', 'disampaikan', 'kepada', 'dpr', 'ungkap', 'presiden']","['presiden', 'menyebut', 'perpanjangan', 'jabatan', 'aspirasi', 'kepala', 'desa', 'mempersilakan', 'kepala', 'desa', 'aspirasi', 'dpr', 'iya', 'namanya', 'namanya', 'aspirasi', 'silakan', 'dpr', 'presiden']","['presiden', 'sebut', 'panjang', 'jabat', 'aspirasi', 'kepala', 'desa', 'sila', 'kepala', 'desa', 'aspirasi', 'dpr', 'iya', 'nama', 'nama', 'aspirasi', 'sila', 'dpr', 'presiden']","['president', 'call', 'long', 'position', 'aspiration', 'head', 'village', 'sila', 'head', 'village', 'aspiration', 'dpr', ' yes', 'name', 'name', 'aspiration', 'sila', 'dpr', 'president']",0.4019,Positif
iina_surbakti,2023-01-24 08:24:30+00:00,"Terkait Masa Jabatan Kepala Desa, Presiden: Undang-Undang Membatasi 6 Tahun

""Undang-undangnya sangat jelas, membatasi enam tahun dan selama tiga periode,"" ujar Presiden Jokowi. https://t.co/SklutNdhQs",Terkait Masa Jabatan Kepala Desa Presiden Undang Undang Membatasi Tahun Undang undangnya sangat jelas membatasi enam tahun dan selama tiga periode ujar Presiden Jokowi,terkait masa jabatan kepala desa presiden undang undang membatasi tahun undang undangnya sangat jelas membatasi enam tahun dan selama tiga periode ujar presiden jokowi,terkait masa jabatan kepala desa presiden undang undang membatasi tahun undang undangnya sangat jelas membatasi enam tahun dan selama tiga periode ujar presiden jokowi,"['terkait', 'masa', 'jabatan', 'kepala', 'desa', 'presiden', 'undang', 'undang', 'membatasi', 'tahun', 'undang', 'undangnya', 'sangat', 'jelas', 'membatasi', 'enam', 'tahun', 'dan', 'selama', 'tiga', 'periode', 'ujar', 'presiden', 'jokowi']","['terkait', 'jabatan', 'kepala', 'desa', 'presiden', 'undang', 'undang', 'membatasi', 'undang', 'undangnya', 'membatasi', 'enam', 'periode', 'presiden', 'jokowi']","['kait', 'jabat', 'kepala', 'desa', 'presiden', 'undang', 'undang', 'batas', 'undang', 'undang', 'batas', 'enam', 'periode', 'presiden', 'jokowi']","['hook', 'title', 'head', 'village', 'president', 'law', 'law', 'limit', 'law', 'law', 'limit', 'six', ' period', 'president', 'jokowi']",0.0,Netral
Rahadian_Yasin,2023-01-24 08:21:17+00:00,"@korantempo Logika awalnya kita lihat aja dulu harga pokok naik karena harga BBM juga naik jadi masa jabatan pejabat tertentu akan bertambah juga karena masa jabatan kepala desa bertambah

Urusan ini bakalan dijadiin alasan",Logika awalnya kita lihat aja dulu harga pokok naik karena harga BBM juga naik jadi masa jabatan pejabat tertentu akan bertambah juga karena masa jabatan kepala desa bertambah Urusan ini bakalan dijadiin alasan,logika awalnya kita lihat aja dulu harga pokok naik karena harga bbm juga naik jadi masa jabatan pejabat tertentu akan bertambah juga karena masa jabatan kepala desa bertambah urusan ini bakalan dijadiin alasan,logika awalnya kita lihat saja dulu harga pokok naik karena harga bbm juga naik jadi masa jabatan pejabat tertentu akan bertambah juga karena masa jabatan kepala desa bertambah urusan ini bakalan dijadikan alasan,"['logika', 'awalnya', 'kita', 'lihat', 'saja', 'dulu', 'harga', 'pokok', 'naik', 'karena', 'harga', 'bbm', 'juga', 'naik', 'jadi', 'masa', 'jabatan', 'pejabat', 'tertentu', 'akan', 'bertambah', 'juga', 'karena', 'masa', 'jabatan', 'kepala', 'desa', 'bertambah', 'urusan', 'ini', 'bakalan', 'dijadikan', 'alasan']","['logika', 'lihat', 'harga', 'pokok', 'harga', 'bbm', 'jabatan', 'pejabat', 'bertambah', 'jabatan', 'kepala', 'desa', 'bertambah', 'urusan', 'dijadikan', 'alasan']","['logika', 'lihat', 'harga', 'pokok', 'harga', 'bbm', 'jabat', 'jabat', 'tambah', 'jabat', 'kepala', 'desa', 'tambah', 'urus', 'jadi', 'alas']","['logic', 'view', 'price', 'tree', 'price', 'bbm', 'department', 'department', 'add', 'department', 'head', 'village', ' add', 'manage', 'so', 'base']",0.0,Netral
Andra_Avriangga,2023-01-24 07:40:22+00:00,"Sepertinya kalian sudah masuk angin barang kali 🤣🤣🤣

Apdesi Minta Masa Jabatan Kepala Desa Bisa Sampai 27 Tahun https://t.co/eKmx2MgT1Y",Sepertinya kalian sudah masuk angin barang kali Apdesi Minta Masa Jabatan Kepala Desa Bisa Sampai Tahun,sepertinya kalian sudah masuk angin barang kali apdesi minta masa jabatan kepala desa bisa sampai tahun,sepertinya kalian sudah masuk angin barang kali apdesi meminta masa jabatan kepala desa bisa sampai tahun,"['sepertinya', 'kalian', 'sudah', 'masuk', 'angin', 'barang', 'kali', 'apdesi', 'meminta', 'masa', 'jabatan', 'kepala', 'desa', 'bisa', 'sampai', 'tahun']","['masuk', 'angin', 'barang', 'kali', 'apdesi', 'jabatan', 'kepala', 'desa']","['masuk', 'angin', 'barang', 'kali', 'apdesi', 'jabat', 'kepala', 'desa']","['enter', 'wind', 'perhaps', 'apdesi', 'position', 'head', 'village']",0.0,Netral
Suara_sumedang,2023-01-24 07:18:15+00:00,"Terkait Usulan Perpanjangan Masa Jabatan Kepala Desa, Jokowi: Silakan Disampaikan kepada DPR RI https://t.co/HirOPs6oPZ",Terkait Usulan Perpanjangan Masa Jabatan Kepala Desa Jokowi Silakan Disampaikan kepada DPR RI,terkait usulan perpanjangan masa jabatan kepala desa jokowi silakan disampaikan kepada dpr ri,terkait usulan perpanjangan masa jabatan kepala desa jokowi silakan disampaikan kepada dpr ri,"['terkait', 'usulan', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa', 'jokowi', 'silakan', 'disampaikan', 'kepada', 'dpr', 'ri']","['terkait', 'usulan', 'perpanjangan', 'jabatan', 'kepala', 'desa', 'jokowi', 'silakan', 'dpr', 'ri']","['kait', 'usul', 'panjang', 'jabat', 'kepala', 'desa', 'jokowi', 'sila', 'dpr', 'ri']","['kait', 'proposal', 'long', 'shake', 'head', 'village', 'jokowi', 'sila', 'dpr', 'ri']",-0.1779,Negative
mhemhet14,2023-01-24 07:09:07+00:00,@DPR_RI Maaf keluar dri pembahasan bapak yg terhormat... Yang sangatlah kami kecewa apabila UUD desa diubah masa jabatan kepala desa dari 6 tahun menjadi 9 tahun... Saya sebagai anak desa tidak setuju bila diperpanjang pak..,Maaf keluar dri pembahasan bapak yg terhormat Yang sangatlah kami kecewa apabila UUD desa diubah masa jabatan kepala desa dari tahun menjadi tahun Saya sebagai anak desa tidak setuju bila diperpanjang pak,maaf keluar dri pembahasan bapak yg terhormat yang sangatlah kami kecewa apabila uud desa diubah masa jabatan kepala desa dari tahun menjadi tahun saya sebagai anak desa tidak setuju bila diperpanjang pak,maaf keluar dari pembahasan bapak yang terhormat yang sangatlah kami kecewa apabila uud desa diubah masa jabatan kepala desa dari tahun menjadi tahun saya sebagai anak desa tidak setuju bila diperpanjang pak,"['maaf', 'keluar', 'dari', 'pembahasan', 'bapak', 'yang', 'terhormat', 'yang', 'sangatlah', 'kami', 'kecewa', 'apabila', 'uud', 'desa', 'diubah', 'masa', 'jabatan', 'kepala', 'desa', 'dari', 'tahun', 'menjadi', 'tahun', 'saya', 'sebagai', 'anak', 'desa', 'tidak', 'setuju', 'bila', 'diperpanjang', 'pak']","['maaf', 'pembahasan', 'terhormat', 'kecewa', 'uud', 'desa', 'diubah', 'jabatan', 'kepala', 'desa', 'anak', 'desa', 'setuju', 'diperpanjang']","['maaf', 'bahas', 'hormat', 'kecewa', 'uud', 'desa', 'ubah', 'jabat', 'kepala', 'desa', 'anak', 'desa', 'tuju', 'panjang']","['sorry', 'language', 'respect', 'disappointed', 'uud', ​​'village', 'change', 'position', 'head', 'village', 'child', 'village', ' aim', 'long']",-0.0772,Negative
WartaEkonomi,2023-01-24 07:05:01+00:00,"Perpanjang Masa Jabatan Kepala Desa Jadi 9 Tahun, Rocky Gerung ke Presiden Jokowi: Kemaksiatan Politiknya Makin Menjadi-jadi! https://t.co/B4AEjLrkX6",Perpanjang Masa Jabatan Kepala Desa Jadi Tahun Rocky Gerung ke Presiden Jokowi Kemaksiatan Politiknya Makin Menjadi jadi,perpanjang masa jabatan kepala desa jadi tahun rocky gerung ke presiden jokowi kemaksiatan politiknya makin menjadi jadi,perpanjang masa jabatan kepala desa jadi tahun rocky gerung ke presiden jokowi kemaksiatan politiknya makin menjadi jadi,"['perpanjang', 'masa', 'jabatan', 'kepala', 'desa', 'jadi', 'tahun', 'rocky', 'gerung', 'ke', 'presiden', 'jokowi', 'kemaksiatan', 'politiknya', 'makin', 'menjadi', 'jadi']","['perpanjang', 'jabatan', 'kepala', 'desa', 'rocky', 'gerung', 'presiden', 'jokowi', 'kemaksiatan', 'politiknya']","['panjang', 'jabat', 'kepala', 'desa', 'rocky', 'gerung', 'presiden', 'jokowi', 'maksiat', 'politik']","['long', 'position', 'head', 'village', 'rocky', 'gerung', 'president', 'jokowi', 'immoral', 'politics']",-0.4588,Negative
RepelitaO,2023-01-24 06:30:26+00:00,"Tak Cukup Hanya 9 Tahun, Apdesi Minta Masa Jabatan Kepala Desa Bisa Sampai 27 Tahun https://t.co/ZKt0CMZZSC lewat @Repelita Online",Tak Cukup Hanya Tahun Apdesi Minta Masa Jabatan Kepala Desa Bisa Sampai Tahun lewat Online,tak cukup hanya tahun apdesi minta masa jabatan kepala desa bisa sampai tahun lewat online,tidak cukup hanya tahun apdesi meminta masa jabatan kepala desa bisa sampai tahun lewat online,"['tidak', 'cukup', 'hanya', 'tahun', 'apdesi', 'meminta', 'masa', 'jabatan', 'kepala', 'desa', 'bisa', 'sampai', 'tahun', 'lewat', 'online']","['apdesi', 'jabatan', 'kepala', 'desa', 'online']","['apdesi', 'jabat', 'kepala', 'desa', 'online']","['apdesi', 'position', 'head', 'village', 'online']",0.0,Netral
kompasiana,2023-01-24 06:18:19+00:00,"Meski kreativitas dan inovasi para kepala desa masih dipertanyakan, mereka ingin penambahan masa jabatan hingga 9 tahun. Bagiamana menurut kamu? #headline https://t.co/STK2vUdjTB",Meski kreativitas dan inovasi para kepala desa masih dipertanyakan mereka ingin penambahan masa jabatan hingga tahun Bagiamana menurut kamu,meski kreativitas dan inovasi para kepala desa masih dipertanyakan mereka ingin penambahan masa jabatan hingga tahun bagiamana menurut kamu,meski kreativitas dan inovasi para kepala desa masih dipertanyakan mereka ingin penambahan masa jabatan hingga tahun bagiamana menurut kamu,"['meski', 'kreativitas', 'dan', 'inovasi', 'para', 'kepala', 'desa', 'masih', 'dipertanyakan', 'mereka', 'ingin', 'penambahan', 'masa', 'jabatan', 'hingga', 'tahun', 'bagiamana', 'menurut', 'kamu']","['kreativitas', 'inovasi', 'kepala', 'desa', 'penambahan', 'jabatan', 'bagiamana']","['kreativitas', 'inovasi', 'kepala', 'desa', 'tambah', 'jabat', 'bagiamana']","['creativity', 'innovation', 'head', 'village', 'add', 'position', 'how']",0.6369,Positif
fajaronline,2023-01-24 06:15:50+00:00,"Minta Masa Jabatan Presiden dan Kepala Desa Tidak Diperpanjang, Benny K Harman: Demokrasi yang Kita Perjuangkan Rusak Berantakan https://t.co/nkvwbjMes7 #BennyKHarman #kades #MasaJabatanPresiden #Presiden",Minta Masa Jabatan Presiden dan Kepala Desa Tidak Diperpanjang Benny  Harman Demokrasi yang Kita Perjuangkan Rusak Berantakan,minta masa jabatan presiden dan kepala desa tidak diperpanjang benny  harman demokrasi yang kita perjuangkan rusak berantakan,meminta masa jabatan presiden dan kepala desa tidak diperpanjang benny harman demokrasi yang kita perjuangkan rusak berantakan,"['meminta', 'masa', 'jabatan', 'presiden', 'dan', 'kepala', 'desa', 'tidak', 'diperpanjang', 'benny', 'harman', 'demokrasi', 'yang', 'kita', 'perjuangkan', 'rusak', 'berantakan']","['jabatan', 'presiden', 'kepala', 'desa', 'diperpanjang', 'benny', 'harman', 'demokrasi', 'perjuangkan', 'rusak', 'berantakan']","['jabat', 'presiden', 'kepala', 'desa', 'panjang', 'benny', 'harman', 'demokrasi', 'juang', 'rusak', 'beranta']","['position', 'president', 'head', 'village', 'long', 'benny', 'harman', 'democracy', 'fight', 'damaged', 'messy']",-0.7906,Negative
kompasiana,2023-01-24 06:14:06+00:00,Perpanjangan Masa Jabatan Kepala Desa: Public Interest or Power Interest? https://t.co/N76kfdIQ0g,Perpanjangan Masa Jabatan Kepala Desa Public Interest or Power Interest,perpanjangan masa jabatan kepala desa public interest or power interest,perpanjangan masa jabatan kepala desa public interest or power interest,"['perpanjangan', 'masa', 'jabatan', 'kepala', 'desa', 'public', 'interest', 'or', 'power', 'interest']","['perpanjangan', 'jabatan', 'kepala', 'desa', 'public', 'interest', 'or', 'power', 'interest']","['panjang', 'jabat', 'kepala', 'desa', 'public', 'interest', 'or', 'power', 'interest']","['long', 'position', 'head', 'village', 'public', 'interest', 'or', 'power', 'interest']",0.7184,Positif
WartaEkonomi,2023-01-24 06:10:02+00:00,"Langsung ACC Permintaan Para Kepala Desa, Rocky Gerung: Asa Presiden Jokowi Perpanjang Masa Jabatan 3 Periode Masih Ada! https://t.co/TbyfC6tAgK",Langsung ACC Permintaan Para Kepala Desa Rocky Gerung Asa Presiden Jokowi Perpanjang Masa Jabatan Periode Masih Ada,langsung acc permintaan para kepala desa rocky gerung asa presiden jokowi perpanjang masa jabatan periode masih ada,langsung acc permintaan para kepala desa rocky gerung asa presiden jokowi perpanjang masa jabatan periode masih ada,"['langsung', 'acc', 'permintaan', 'para', 'kepala', 'desa', 'rocky', 'gerung', 'asa', 'presiden', 'jokowi', 'perpanjang', 'masa', 'jabatan', 'periode', 'masih', 'ada']","['langsung', 'acc', 'permintaan', 'kepala', 'desa', 'rocky', 'gerung', 'asa', 'presiden', 'jokowi', 'perpanjang', 'jabatan', 'periode']","['langsung', 'acc', 'minta', 'kepala', 'desa', 'rocky', 'gerung', 'asa', 'presiden', 'jokowi', 'panjang', 'jabat', 'periode']","['direct', 'acc', 'ask', 'head', 'village', 'rocky', 'gerung', 'asa', 'president', 'jokowi', 'long', 'shake', ' period']",-0.1779,Negative
